Status_of_Existing_Checking_Account,Duration_in_Month,Credit_History,Purpose,Credit_Amount,Savings_Account_bonds,Employment_Since,Installment_rate_in_percentage_of_disposable_income,Personal_Status_and_sex,other_debtors,Years_at_residence,Property,Age,Other_installment_plans,Housing,Number_of_Existing_credits,Job,Number_of_people_being_liable,telephone,foreign_worker,credit_risk
0 DM,12,3,2,741,100-500 DM,5,4,female:divorced/separated/married,none,3,building society savings agreement/ life insurance,22,none,own,1,skilled employee,1,None,Yes,1
>200 DM,10,3,5,1240,100-500 DM,2,1,female:divorced/separated/married,none,4,unknown/no property,48,none,free,1,unskilled/resident,2,None,Yes,1
0 DM,21,3,6,3357,>1000 DM,1,4,female:divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee,1,None,Yes,0
0 DM,24,1,9,3632,< 100 DM,3,1,female:divorced/separated/married,guarantor,4,car or other,22,bank,rent,1,skilled employee,1,None,No,0
No checking account,18,4,4,1808,< 100 DM,4,4,female:divorced/separated/married,none,1,real estate,22,none,own,1,skilled employee,1,None,Yes,1
0-200 DM,48,5,1,12204,no savings,3,2,male:single,none,2,car or other,48,bank,own,1,management/self employed,1,yes,Yes,0
0-200 DM,60,4,6,9157,no savings,3,2,male:single,none,2,unknown/no property,27,none,free,1,management/self employed,1,None,Yes,0
0 DM,6,2,5,3676,< 100 DM,3,1,male:single,none,3,real estate,37,none,rent,3,skilled employee,2,None,Yes,0
0-200 DM,30,3,4,3441,100-500 DM,3,2,female:divorced/separated/married,co-applicant,4,car or other,21,none,rent,1,skilled employee,1,None,Yes,1
No checking account,12,3,5,640,< 100 DM,3,4,male:divorced/separated,none,2,real estate,49,none,own,1,unskilled/resident,1,None,Yes,0
0-200 DM,21,2,1,3652,< 100 DM,4,2,male:single,none,3,building society savings agreement/ life insurance,27,none,own,2,skilled employee,1,None,Yes,0
No checking account,18,2,5,1530,< 100 DM,3,3,male:single,none,2,building society savings agreement/ life insurance,32,bank,own,2,skilled employee,1,None,Yes,1
No checking account,48,3,1,3914,no savings,3,4,male:divorced/separated,none,2,real estate,38,bank,own,1,skilled employee,1,None,Yes,1
0 DM,12,3,4,1858,< 100 DM,1,4,female:divorced/separated/married,none,1,car or other,22,none,rent,1,skilled employee,1,None,Yes,0
0 DM,18,3,6,2600,< 100 DM,3,4,male:single,none,4,unknown/no property,65,none,free,2,skilled employee,1,None,Yes,1
No checking account,15,3,6,1979,no savings,2,4,male:single,none,2,car or other,35,none,own,1,skilled employee,1,None,Yes,0
>200 DM,6,3,4,2116,< 100 DM,3,2,male:single,none,2,real estate,41,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,9,1,5,1437,100-500 DM,4,2,male:single,none,3,unknown/no property,29,none,own,1,skilled employee,1,None,Yes,1
No checking account,42,2,4,4042,500-1000 DM,3,4,male:single,none,4,real estate,36,none,own,2,skilled employee,1,yes,Yes,0
No checking account,9,3,3,3832,no savings,2,1,male:single,none,4,real estate,64,none,own,1,unskilled/resident,1,None,Yes,0
0 DM,24,3,6,3660,< 100 DM,3,2,female:divorced/separated/married,none,4,car or other,28,none,own,1,skilled employee,1,None,Yes,0
0 DM,18,1,4,1553,< 100 DM,3,4,male:single,none,3,car or other,44,bank,own,1,skilled employee,1,None,Yes,1
0-200 DM,15,3,6,1444,no savings,1,4,male:single,none,1,building society savings agreement/ life insurance,23,none,own,1,skilled employee,1,None,Yes,0
No checking account,9,3,4,1980,< 100 DM,1,2,female:divorced/separated/married,co-applicant,2,car or other,19,none,rent,2,skilled employee,1,None,Yes,1
0-200 DM,24,3,5,1355,< 100 DM,1,3,female:divorced/separated/married,none,4,car or other,25,none,own,1,unskilled/resident,1,yes,Yes,1
No checking account,12,3,3,1393,< 100 DM,2,4,male:single,none,4,building society savings agreement/ life insurance,47,bank,own,3,skilled employee,2,yes,Yes,0
No checking account,24,3,6,1376,500-1000 DM,4,4,female:divorced/separated/married,none,1,car or other,28,none,own,1,skilled employee,1,None,Yes,0
No checking account,60,4,6,15653,< 100 DM,4,2,male:single,none,4,car or other,21,none,own,2,skilled employee,1,yes,Yes,0
No checking account,12,3,6,1493,< 100 DM,1,4,female:divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee,2,None,Yes,0
0 DM,42,4,6,4370,< 100 DM,4,3,male:single,none,2,building society savings agreement/ life insurance,26,bank,own,2,skilled employee,2,yes,Yes,1
0 DM,18,3,3,750,< 100 DM,5,4,female:divorced/separated/married,none,1,real estate,27,none,own,1,5,1,None,Yes,1
0-200 DM,15,3,7,1308,< 100 DM,2,4,male:single,none,4,car or other,38,none,own,2,unskilled/resident,1,None,Yes,0
No checking account,15,3,3,4623,100-500 DM,3,3,male:single,none,2,building society savings agreement/ life insurance,40,none,own,1,management/self employed,1,yes,Yes,1
No checking account,24,2,6,1851,< 100 DM,4,4,male:married,guarantor,2,car or other,33,none,own,2,skilled employee,1,yes,Yes,0
0 DM,18,2,6,1880,< 100 DM,4,4,male:married,none,1,building society savings agreement/ life insurance,32,none,own,2,management/self employed,1,yes,Yes,0
No checking account,36,4,1,7980,no savings,1,4,male:single,none,4,car or other,27,none,rent,2,skilled employee,1,yes,Yes,1
0 DM,30,5,4,4583,< 100 DM,3,2,male:divorced/separated,guarantor,2,real estate,32,none,own,2,skilled employee,1,None,Yes,0
No checking account,12,3,5,1386,500-1000 DM,3,2,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,26,none,own,1,skilled employee,1,None,Yes,1
>200 DM,24,3,5,947,< 100 DM,4,4,male:single,none,3,unknown/no property,38,bank,free,1,skilled employee,2,None,Yes,1
0 DM,12,3,3,684,< 100 DM,3,4,male:single,none,4,car or other,40,none,rent,1,unskilled/resident,2,None,Yes,1
0 DM,48,3,3,7476,< 100 DM,4,4,male:single,none,1,unknown/no property,50,none,free,1,management/self employed,1,yes,Yes,0
0-200 DM,12,3,4,1922,< 100 DM,3,4,male:single,none,2,building society savings agreement/ life insurance,37,none,own,1,unskilled/resident,1,None,Yes,1
0 DM,24,3,5,2303,< 100 DM,2,4,male:single,co-applicant,1,real estate,45,none,own,1,skilled employee,1,None,Yes,1
0-200 DM,36,4,5,8086,100-500 DM,2,2,male:single,none,4,car or other,42,none,own,4,management/self employed,1,yes,Yes,1
No checking account,24,2,9,2346,< 100 DM,4,4,male:single,none,3,car or other,35,none,own,2,skilled employee,1,yes,Yes,0
0 DM,14,3,5,3973,< 100 DM,5,1,male:single,none,4,unknown/no property,22,none,free,1,skilled employee,1,None,Yes,0
0-200 DM,12,3,5,888,< 100 DM,2,4,male:single,none,4,car or other,41,bank,own,1,unskilled/resident,2,None,Yes,1
No checking account,48,3,6,10222,no savings,4,4,male:single,none,3,car or other,37,stores,own,1,skilled employee,1,yes,Yes,0
0-200 DM,30,5,1,4221,< 100 DM,3,2,female:divorced/separated/married,none,1,car or other,28,none,own,2,skilled employee,1,None,Yes,0
0-200 DM,18,2,4,6361,< 100 DM,2,2,male:single,none,1,unknown/no property,41,none,own,1,skilled employee,1,yes,Yes,0
>200 DM,12,3,6,1297,< 100 DM,3,3,male:married,none,4,real estate,23,none,rent,1,skilled employee,1,None,Yes,0
0 DM,12,3,5,900,no savings,3,4,male:married,none,2,car or other,23,none,own,1,skilled employee,1,None,Yes,1
No checking account,21,3,4,2241,< 100 DM,2,4,male:single,none,2,real estate,50,none,own,2,skilled employee,1,None,Yes,0
0-200 DM,6,4,4,1050,< 100 DM,5,4,male:single,none,1,building society savings agreement/ life insurance,35,stores,own,2,management/self employed,1,yes,Yes,0
>200 DM,6,2,3,1047,< 100 DM,3,2,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,50,none,own,1,unskilled/resident,1,None,Yes,0
No checking account,24,2,10,6314,< 100 DM,5,4,male:single,co-applicant,2,unknown/no property,27,bank,own,2,management/self employed,1,yes,Yes,0
0-200 DM,30,1,4,3496,>1000 DM,3,4,male:single,none,2,car or other,34,stores,own,1,skilled employee,2,yes,Yes,0
No checking account,48,1,1,3609,< 100 DM,3,1,female:divorced/separated/married,none,1,real estate,27,stores,own,1,skilled employee,1,None,Yes,0
0 DM,12,2,5,4843,< 100 DM,2,3,male:single,co-applicant,4,building society savings agreement/ life insurance,43,none,rent,2,skilled employee,1,yes,Yes,1
>200 DM,30,2,6,3017,< 100 DM,2,4,male:single,none,4,building society savings agreement/ life insurance,47,none,own,1,skilled employee,1,None,Yes,0
No checking account,24,2,1,4139,100-500 DM,3,3,male:single,none,3,building society savings agreement/ life insurance,27,none,own,2,unskilled/resident,1,yes,Yes,0
No checking account,36,3,1,5742,100-500 DM,4,2,male:single,none,2,car or other,31,none,own,2,skilled employee,1,yes,Yes,0
No checking account,60,3,5,10366,< 100 DM,2,2,male:single,none,4,building society savings agreement/ life insurance,42,none,own,1,management/self employed,1,yes,Yes,0
No checking account,6,2,5,2080,500-1000 DM,3,1,male:married,none,2,car or other,24,none,own,1,skilled employee,1,None,Yes,0
No checking account,21,4,1,2580,500-1000 DM,1,4,male:single,none,2,real estate,41,bank,own,1,unskilled/resident,2,None,Yes,1
No checking account,30,2,6,4530,< 100 DM,4,4,female:divorced/separated/married,none,4,car or other,26,none,rent,1,management/self employed,1,yes,Yes,0
No checking account,24,2,4,5150,< 100 DM,2,4,male:single,none,4,car or other,33,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,72,3,6,5595,100-500 DM,3,2,male:married,none,2,car or other,24,none,own,1,skilled employee,1,None,Yes,1
0 DM,24,3,6,2384,< 100 DM,2,4,male:single,none,4,real estate,64,bank,rent,1,unskilled/resident,1,None,Yes,0
No checking account,18,3,6,1453,< 100 DM,1,3,female:divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee,1,None,Yes,0
No checking account,6,3,3,1538,< 100 DM,1,1,female:divorced/separated/married,none,2,unknown/no property,56,none,own,1,skilled employee,1,None,Yes,0
No checking account,12,3,6,2279,no savings,3,4,male:single,none,4,unknown/no property,37,none,free,1,skilled employee,1,yes,Yes,0
No checking account,15,4,6,1478,< 100 DM,3,4,male:married,none,3,real estate,33,bank,own,2,skilled employee,1,None,Yes,0
No checking account,24,2,6,5103,< 100 DM,1,3,male:married,none,3,unknown/no property,47,none,free,3,skilled employee,1,yes,Yes,0
0-200 DM,36,4,1,9857,100-500 DM,4,1,male:single,none,3,building society savings agreement/ life insurance,31,none,own,2,unskilled/resident,2,yes,Yes,0
No checking account,60,3,5,6527,no savings,3,4,male:single,none,4,unknown/no property,34,none,free,1,skilled employee,2,yes,Yes,0
>200 DM,10,2,6,1347,no savings,4,4,male:single,none,2,building society savings agreement/ life insurance,27,none,own,2,skilled employee,1,yes,Yes,0
0-200 DM,36,4,5,2862,100-500 DM,2,4,male:single,none,3,unknown/no property,30,none,free,1,skilled employee,1,None,Yes,0
No checking account,9,3,6,2753,100-500 DM,2,3,male:single,co-applicant,4,car or other,35,none,own,1,skilled employee,1,yes,Yes,0
0 DM,12,3,5,3651,>1000 DM,3,1,male:single,none,3,building society savings agreement/ life insurance,31,none,own,1,skilled employee,2,None,Yes,0
0 DM,15,2,4,975,< 100 DM,3,2,male:divorced/separated,none,3,building society savings agreement/ life insurance,25,none,own,2,skilled employee,1,None,Yes,0
0-200 DM,15,3,7,2631,100-500 DM,3,3,female:divorced/separated/married,none,2,real estate,25,none,own,1,unskilled/resident,1,None,Yes,0
0-200 DM,24,3,6,2896,100-500 DM,1,2,male:single,none,1,car or other,29,none,own,1,skilled employee,1,None,Yes,0
0 DM,6,2,5,4716,no savings,1,1,male:single,none,3,real estate,44,none,own,2,unskilled/resident,2,None,Yes,0
No checking account,24,3,6,2284,< 100 DM,4,4,male:single,none,2,car or other,28,none,own,1,skilled employee,1,yes,Yes,0
No checking account,6,3,9,1236,500-1000 DM,3,2,male:single,none,4,building society savings agreement/ life insurance,50,none,rent,1,skilled employee,1,None,Yes,0
0-200 DM,12,3,6,1103,< 100 DM,4,4,male:single,guarantor,3,real estate,29,none,own,2,skilled employee,1,None,No,0
No checking account,12,2,5,926,< 100 DM,5,1,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,38,none,own,1,5,1,None,Yes,0
No checking account,18,2,6,1800,< 100 DM,3,4,male:single,none,2,car or other,24,none,own,2,skilled employee,1,None,Yes,0
>200 DM,15,3,3,1905,< 100 DM,2,4,male:single,none,4,car or other,40,none,rent,1,management/self employed,1,yes,Yes,0
No checking account,12,3,4,1123,500-1000 DM,3,4,female:divorced/separated/married,none,4,car or other,29,none,rent,1,unskilled/resident,1,None,Yes,1
0 DM,48,2,9,6331,< 100 DM,2,4,male:single,none,4,unknown/no property,46,none,free,2,skilled employee,1,yes,Yes,1
>200 DM,24,3,6,1377,100-500 DM,2,4,female:divorced/separated/married,none,2,unknown/no property,47,none,free,1,skilled employee,1,yes,Yes,0
0-200 DM,30,4,1,2503,100-500 DM,2,4,male:single,none,2,building society savings agreement/ life insurance,41,stores,own,2,skilled employee,1,None,Yes,0
0-200 DM,27,3,1,2528,< 100 DM,1,4,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,32,none,own,1,skilled employee,2,yes,Yes,0
No checking account,15,3,5,5324,500-1000 DM,2,1,female:divorced/separated/married,none,4,unknown/no property,35,none,free,1,skilled employee,1,None,Yes,0
0-200 DM,48,3,5,6560,100-500 DM,4,3,male:single,none,2,building society savings agreement/ life insurance,24,none,own,1,skilled employee,1,None,Yes,1
0-200 DM,12,5,4,2969,< 100 DM,1,4,female:divorced/separated/married,none,3,building society savings agreement/ life insurance,25,none,rent,2,skilled employee,1,None,Yes,1
0-200 DM,9,3,6,1206,< 100 DM,2,4,female:divorced/separated/married,none,4,real estate,25,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,9,3,6,2118,< 100 DM,3,2,male:single,none,2,real estate,37,none,own,1,unskilled/resident,2,None,Yes,0
No checking account,18,2,6,629,500-1000 DM,2,4,male:single,none,3,building society savings agreement/ life insurance,32,bank,own,2,management/self employed,1,yes,Yes,0
0 DM,6,1,3,1198,< 100 DM,2,4,female:divorced/separated/married,none,4,unknown/no property,35,none,free,1,skilled employee,1,None,Yes,1
No checking account,21,3,9,2476,no savings,2,4,male:single,none,4,real estate,46,none,own,1,management/self employed,1,yes,Yes,0
0 DM,9,2,6,1138,< 100 DM,3,4,male:single,none,4,real estate,25,none,own,2,unskilled/resident,1,None,Yes,0
0-200 DM,60,3,5,14027,< 100 DM,4,4,male:single,none,2,unknown/no property,27,none,own,1,management/self employed,1,yes,Yes,1
No checking account,30,2,9,7596,no savings,2,1,male:single,none,4,car or other,63,none,own,2,skilled employee,1,None,Yes,0
No checking account,30,2,6,3077,no savings,2,3,male:single,none,2,car or other,40,none,own,2,skilled employee,2,yes,Yes,0
No checking account,18,3,6,1505,< 100 DM,3,4,male:single,none,2,unknown/no property,32,none,free,1,management/self employed,1,yes,Yes,0
>200 DM,24,2,6,3148,no savings,3,3,male:single,none,2,car or other,31,none,own,2,skilled employee,1,yes,Yes,0
0-200 DM,20,5,9,6148,100-500 DM,2,3,male:married,none,4,car or other,31,bank,own,2,skilled employee,1,yes,Yes,0
>200 DM,9,5,6,1337,< 100 DM,1,4,male:single,none,2,car or other,34,none,own,2,management/self employed,1,yes,Yes,1
0-200 DM,6,1,3,433,>1000 DM,1,4,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,24,bank,rent,1,skilled employee,2,None,Yes,1
0 DM,12,3,5,1228,< 100 DM,3,4,female:divorced/separated/married,none,2,real estate,24,none,own,1,unskilled/resident,1,None,Yes,1
0-200 DM,9,3,6,790,500-1000 DM,3,4,female:divorced/separated/married,none,3,real estate,66,none,own,1,unskilled/resident,1,None,Yes,0
No checking account,27,3,5,2570,< 100 DM,3,3,female:divorced/separated/married,none,3,real estate,21,none,rent,1,skilled employee,1,None,Yes,1
No checking account,6,2,5,250,>1000 DM,3,2,female:divorced/separated/married,none,2,real estate,41,bank,own,2,unskilled/resident,1,None,Yes,0
No checking account,15,2,6,1316,500-1000 DM,3,2,male:married,none,2,building society savings agreement/ life insurance,47,none,own,2,unskilled/resident,1,None,Yes,0
0 DM,18,3,6,1882,< 100 DM,3,4,female:divorced/separated/married,none,4,car or other,25,bank,rent,2,skilled employee,1,None,Yes,1
0-200 DM,48,1,1,6416,< 100 DM,2,4,female:divorced/separated/married,none,3,unknown/no property,59,none,rent,1,skilled employee,1,None,Yes,1
>200 DM,24,2,1,1275,>1000 DM,3,2,male:divorced/separated,none,4,real estate,36,none,own,2,skilled employee,1,yes,Yes,0
0-200 DM,24,4,6,6403,< 100 DM,1,1,male:single,none,2,car or other,33,none,own,1,skilled employee,1,None,Yes,0
0 DM,24,3,6,1987,< 100 DM,3,2,male:single,none,4,real estate,21,none,rent,1,unskilled/resident,2,None,Yes,1
0-200 DM,8,3,6,760,< 100 DM,4,4,female:divorced/separated/married,guarantor,2,real estate,44,none,own,1,unskilled/resident,1,None,Yes,0
No checking account,24,3,9,2603,>1000 DM,3,2,female:divorced/separated/married,none,4,car or other,28,none,rent,1,skilled employee,1,yes,Yes,0
No checking account,4,2,5,3380,< 100 DM,4,1,female:divorced/separated/married,none,1,real estate,37,none,own,1,skilled employee,2,None,Yes,0
0-200 DM,36,1,2,3990,no savings,1,3,female:divorced/separated/married,none,2,unknown/no property,29,bank,own,1,5,1,None,Yes,0
0-200 DM,24,3,9,11560,< 100 DM,3,1,female:divorced/separated/married,none,4,car or other,23,none,rent,2,management/self employed,1,None,Yes,1
0 DM,18,3,5,4380,100-500 DM,3,3,male:single,none,4,car or other,35,none,own,1,unskilled/resident,2,yes,Yes,0
No checking account,6,2,5,6761,< 100 DM,4,1,male:single,none,3,unknown/no property,45,none,own,2,management/self employed,2,yes,Yes,0
0-200 DM,30,5,1,4280,100-500 DM,3,4,female:divorced/separated/married,none,4,car or other,26,none,rent,2,unskilled/resident,1,None,Yes,1
0 DM,24,1,5,2325,100-500 DM,4,2,male:single,none,3,car or other,32,bank,own,1,skilled employee,1,None,Yes,0
0-200 DM,10,1,6,1048,< 100 DM,3,4,male:single,none,4,real estate,23,stores,own,1,unskilled/resident,1,None,Yes,0
No checking account,21,3,6,3160,no savings,2,4,male:single,none,3,building society savings agreement/ life insurance,41,none,own,1,skilled employee,1,yes,Yes,0
0 DM,24,1,4,2483,500-1000 DM,3,4,male:single,none,4,real estate,22,stores,own,1,skilled employee,1,yes,Yes,0
0 DM,39,2,4,14179,no savings,4,4,male:single,none,4,building society savings agreement/ life insurance,30,none,own,2,management/self employed,1,yes,Yes,0
0 DM,13,2,1,1797,< 100 DM,1,3,male:single,none,1,building society savings agreement/ life insurance,28,bank,own,2,unskilled/resident,1,None,Yes,0
0 DM,15,3,5,2511,< 100 DM,5,1,female:divorced/separated/married,none,4,car or other,23,none,rent,1,skilled employee,1,None,Yes,0
0 DM,12,3,5,1274,< 100 DM,1,3,female:divorced/separated/married,none,1,real estate,37,none,own,1,unskilled/resident,1,None,Yes,1
No checking account,21,3,9,5248,no savings,3,1,male:single,none,3,car or other,26,none,own,1,skilled employee,1,None,Yes,0
No checking account,15,3,9,3029,< 100 DM,4,2,male:single,none,2,car or other,33,none,own,1,skilled employee,1,None,Yes,0
0 DM,6,3,4,428,< 100 DM,2,2,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,49,bank,own,1,skilled employee,1,yes,Yes,0
0 DM,18,3,5,976,< 100 DM,1,1,female:divorced/separated/married,none,2,car or other,23,none,own,1,unskilled/resident,1,None,Yes,1
0-200 DM,12,3,1,841,100-500 DM,4,2,female:divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled/resident,1,None,Yes,0
No checking account,30,2,6,5771,< 100 DM,4,4,female:divorced/separated/married,none,2,car or other,25,none,own,2,skilled employee,1,None,Yes,0
No checking account,12,4,7,1555,>1000 DM,2,4,male:single,none,4,unknown/no property,55,none,free,2,skilled employee,2,None,Yes,1
0 DM,24,3,5,1285,no savings,4,4,female:divorced/separated/married,none,4,unknown/no property,32,none,rent,1,skilled employee,1,None,Yes,1
>200 DM,6,2,5,1299,< 100 DM,3,1,male:single,none,1,real estate,74,none,own,3,5,2,None,No,0
>200 DM,15,2,6,1271,no savings,3,3,male:single,none,4,unknown/no property,39,none,free,2,skilled employee,1,yes,Yes,1
No checking account,24,3,5,1393,< 100 DM,3,2,male:single,guarantor,2,real estate,31,none,own,1,skilled employee,1,yes,Yes,0
0 DM,12,2,5,691,< 100 DM,2,4,male:single,none,3,building society savings agreement/ life insurance,35,none,own,2,skilled employee,1,None,Yes,1
No checking account,15,2,5,5045,no savings,2,1,female:divorced/separated/married,none,4,car or other,59,none,own,1,skilled employee,1,yes,Yes,0
0 DM,18,2,4,2124,< 100 DM,3,4,female:divorced/separated/married,none,4,real estate,24,none,rent,2,skilled employee,1,None,Yes,1
0 DM,12,3,6,2214,< 100 DM,3,4,male:single,none,3,building society savings agreement/ life insurance,24,none,own,1,unskilled/resident,1,None,Yes,0
No checking account,21,2,5,12680,no savings,2,4,male:single,none,4,unknown/no property,30,none,free,1,management/self employed,1,yes,Yes,1
No checking account,24,2,5,2463,100-500 DM,4,4,male:married,none,3,building society savings agreement/ life insurance,27,none,own,2,skilled employee,1,yes,Yes,0
0-200 DM,12,3,6,1155,< 100 DM,2,3,male:married,guarantor,3,real estate,40,bank,own,2,unskilled/resident,1,None,Yes,0
0 DM,30,3,4,3108,< 100 DM,1,2,male:divorced/separated,none,4,building society savings agreement/ life insurance,31,none,own,1,unskilled/resident,1,None,Yes,1
No checking account,10,3,9,2901,no savings,1,1,female:divorced/separated/married,none,4,real estate,31,none,rent,1,skilled employee,1,None,Yes,0
0-200 DM,12,2,4,3617,< 100 DM,2,1,male:single,none,4,car or other,28,none,rent,3,skilled employee,1,yes,Yes,0
No checking account,12,2,6,1655,< 100 DM,2,2,male:single,none,4,real estate,63,none,own,2,unskilled/resident,1,yes,Yes,0
0 DM,24,3,9,2812,no savings,2,2,female:divorced/separated/married,none,4,real estate,26,none,rent,1,skilled employee,1,None,Yes,0
0 DM,36,2,3,8065,< 100 DM,3,3,female:divorced/separated/married,none,2,unknown/no property,25,none,own,2,management/self employed,1,yes,Yes,1
No checking account,21,2,9,3275,< 100 DM,2,1,male:single,none,4,car or other,36,none,own,1,management/self employed,1,yes,Yes,0
No checking account,24,2,6,2223,100-500 DM,2,4,male:single,none,4,building society savings agreement/ life insurance,52,bank,own,2,skilled employee,1,None,Yes,0
>200 DM,12,2,5,1480,500-1000 DM,5,2,male:single,none,4,unknown/no property,66,bank,free,3,5,1,None,Yes,0
0 DM,24,3,5,1371,no savings,3,4,female:divorced/separated/married,none,4,real estate,25,none,rent,1,skilled employee,1,None,Yes,1
No checking account,36,2,5,3535,< 100 DM,4,4,male:single,none,4,car or other,37,none,own,2,skilled employee,1,yes,Yes,0
0 DM,18,3,6,3509,< 100 DM,4,4,female:divorced/separated/married,guarantor,1,real estate,25,none,own,1,skilled employee,1,None,Yes,0
No checking account,36,2,9,5711,>1000 DM,2,4,male:single,none,2,car or other,38,none,own,2,management/self employed,1,yes,Yes,0
0-200 DM,18,3,7,3872,< 100 DM,5,2,female:divorced/separated/married,none,4,car or other,67,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,39,2,6,4933,< 100 DM,4,2,male:single,guarantor,2,real estate,25,none,own,2,skilled employee,1,None,Yes,1
No checking account,24,2,5,1940,>1000 DM,2,4,male:single,none,4,real estate,60,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,12,5,8,1410,< 100 DM,3,2,male:single,none,2,real estate,31,none,own,1,unskilled/resident,1,yes,Yes,0
0-200 DM,12,3,5,836,100-500 DM,1,4,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,23,bank,own,1,unskilled/resident,1,None,Yes,1
0-200 DM,20,3,9,6468,no savings,5,1,male:divorced/separated,none,4,real estate,60,none,own,1,management/self employed,1,yes,Yes,0
0-200 DM,18,3,1,1941,>1000 DM,3,4,male:single,none,2,building society savings agreement/ life insurance,35,none,own,1,unskilled/resident,1,yes,Yes,0
No checking account,22,3,6,2675,500-1000 DM,2,3,male:single,none,4,car or other,40,none,own,1,skilled employee,1,None,Yes,0
No checking account,48,2,9,2751,no savings,2,4,male:single,none,3,car or other,38,none,own,2,skilled employee,2,yes,Yes,0
0-200 DM,48,4,3,6224,< 100 DM,2,4,male:single,none,4,unknown/no property,50,none,free,1,skilled employee,1,None,Yes,1
0 DM,40,2,3,5998,< 100 DM,3,4,male:single,none,3,unknown/no property,27,bank,own,1,skilled employee,1,yes,Yes,1
0-200 DM,21,3,1,1188,< 100 DM,2,2,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,39,none,own,1,skilled employee,2,None,Yes,1
No checking account,24,3,9,6313,no savings,2,3,male:single,none,4,car or other,41,none,own,1,management/self employed,2,yes,Yes,0
No checking account,6,2,4,1221,no savings,3,1,male:married,none,2,building society savings agreement/ life insurance,27,none,own,2,skilled employee,1,None,Yes,0
>200 DM,24,3,4,2892,< 100 DM,2,3,male:divorced/separated,none,4,unknown/no property,51,none,free,1,skilled employee,1,None,Yes,0
No checking account,24,3,4,3062,500-1000 DM,2,4,male:single,none,3,unknown/no property,32,none,rent,1,skilled employee,1,yes,Yes,0
No checking account,9,3,4,2301,100-500 DM,1,2,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,22,none,rent,1,skilled employee,1,None,Yes,0
0 DM,18,3,9,7511,no savings,2,1,male:single,none,4,building society savings agreement/ life insurance,51,none,free,1,skilled employee,2,yes,Yes,1
No checking account,12,2,4,1258,< 100 DM,1,2,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,22,none,rent,2,unskilled/resident,1,None,Yes,0
No checking account,24,4,5,717,no savings,2,4,male:married,none,4,car or other,54,none,own,2,skilled employee,1,yes,Yes,0
0-200 DM,9,3,5,1549,no savings,1,4,male:single,none,2,real estate,35,none,own,1,5,1,None,Yes,0
No checking account,24,2,3,1597,< 100 DM,2,4,male:single,none,4,unknown/no property,54,none,free,2,skilled employee,2,None,Yes,0
0-200 DM,18,2,6,1795,< 100 DM,2,3,female:divorced/separated/married,guarantor,4,real estate,48,bank,rent,2,unskilled/resident,1,yes,Yes,0
0 DM,20,2,4,4272,< 100 DM,2,1,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,own,2,skilled employee,1,None,Yes,0
No checking account,12,2,6,976,no savings,2,4,male:single,none,4,car or other,35,none,own,2,skilled employee,1,None,Yes,0
0-200 DM,12,3,5,7472,no savings,5,1,female:divorced/separated/married,none,2,real estate,24,none,rent,1,5,1,None,Yes,0
0 DM,36,3,5,9271,< 100 DM,4,2,male:single,none,1,car or other,24,none,own,1,skilled employee,1,yes,Yes,1
0-200 DM,6,3,6,590,< 100 DM,1,3,male:married,none,3,real estate,26,none,own,1,unskilled/resident,1,None,No,0
No checking account,12,2,6,930,no savings,2,4,male:single,none,4,real estate,65,none,own,4,skilled employee,1,None,Yes,0
0-200 DM,42,1,9,9283,< 100 DM,5,1,male:single,none,2,unknown/no property,55,bank,free,1,management/self employed,1,yes,Yes,0
0-200 DM,15,5,5,1778,< 100 DM,1,2,female:divorced/separated/married,none,1,real estate,26,none,rent,2,5,1,None,Yes,1
0-200 DM,8,3,1,907,< 100 DM,1,3,male:married,none,2,real estate,26,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,6,3,6,484,< 100 DM,4,3,male:married,guarantor,3,real estate,28,bank,own,1,unskilled/resident,1,None,Yes,0
0 DM,36,2,9,9629,< 100 DM,4,4,male:single,none,4,car or other,24,none,own,2,skilled employee,1,yes,Yes,1
0 DM,48,3,2,3051,< 100 DM,3,3,male:single,none,4,car or other,54,none,own,1,skilled employee,1,None,Yes,1
